Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q13362,2A5G_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma) (Renal carcinoma antigen NY-REN-29),PPP2R5C KIAA0044,Homo sapiens (Human),524
P11171,41_HUMAN,reviewed,Protein 4.1 (P4.1) (4.1R) (Band 4.1) (EPB4.1),EPB41 E41P,Homo sapiens (Human),864
P30153,2AAA_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha),PPP2R1A,Homo sapiens (Human),589
Q96PE1,AGRA2_HUMAN,reviewed,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),ADGRA2 GPR124 KIAA1531 TEM5,Homo sapiens (Human),1338
O96019,ACL6A_HUMAN,reviewed,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),ACTL6A BAF53 BAF53A INO80K,Homo sapiens (Human),429
Q8IWK6,AGRA3_HUMAN,reviewed,Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125),ADGRA3 GPR125 UNQ556/PRO1113,Homo sapiens (Human),1321
O14862,AIM2_HUMAN,reviewed,Interferon-inducible protein AIM2 (Absent in melanoma 2),AIM2,Homo sapiens (Human),343
Q99490,AGAP2_HUMAN,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)",AGAP2 CENTG1 KIAA0167,Homo sapiens (Human),1192
A9YTQ3,AHRR_HUMAN,reviewed,Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77),AHRR BHLHE77 KIAA1234,Homo sapiens (Human),701
Q96LA8,ANM6_HUMAN,reviewed,Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6),PRMT6 HRMT1L6,Homo sapiens (Human),375
O60678,ANM3_HUMAN,reviewed,Protein arginine N-methyltransferase 3 (EC 2.1.1.-) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3),PRMT3 HRMT1L3,Homo sapiens (Human),531
P30533,AMRP_HUMAN,reviewed,Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP),LRPAP1 A2MRAP,Homo sapiens (Human),357
P39687,AN32A_HUMAN,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI),ANP32A C15orf1 LANP MAPM PHAP1,Homo sapiens (Human),249
O14744,ANM5_HUMAN,reviewed,"Protein arginine N-methyltransferase 5 (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]",PRMT5 HRMT1L5 IBP72 JBP1 SKB1,Homo sapiens (Human),637
Q5JTC6,AMER1_HUMAN,reviewed,APC membrane recruitment protein 1 (Amer1) (Protein FAM123B) (Wilms tumor gene on the X chromosome protein),AMER1 FAM123B WTX,Homo sapiens (Human),1135
Q9ULZ3,ASC_HUMAN,reviewed,Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1),PYCARD ASC CARD5 TMS1,Homo sapiens (Human),195
Q8N7J2,AMER2_HUMAN,reviewed,APC membrane recruitment protein 2 (Amer2) (Protein FAM123A),AMER2 FAM123A,Homo sapiens (Human),671
P05549,AP2A_HUMAN,reviewed,Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2),TFAP2A AP2TF TFAP2,Homo sapiens (Human),437
P25054,APC_HUMAN,reviewed,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),APC DP2.5,Homo sapiens (Human),2843
Q92754,AP2C_HUMAN,reviewed,Transcription factor AP-2 gamma (AP2-gamma) (Activating enhancer-binding protein 2 gamma) (Transcription factor ERF-1),TFAP2C,Homo sapiens (Human),450
O95996,APCL_HUMAN,reviewed,Adenomatous polyposis coli protein 2 (Adenomatous polyposis coli protein-like) (APC-like),APC2 APCL,Homo sapiens (Human),2303
Q8IVW6,ARI3B_HUMAN,reviewed,AT-rich interactive domain-containing protein 3B (ARID domain-containing protein 3B) (Bright and dead ringer protein) (Bright-like protein),ARID3B BDP DRIL2,Homo sapiens (Human),561
O95352,ATG7_HUMAN,reviewed,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein),ATG7 APG7L,Homo sapiens (Human),703
Q969Q4,ARL11_HUMAN,reviewed,ADP-ribosylation factor-like protein 11 (ADP-ribosylation factor-like tumor suppressor protein 1),ARL11 ARLTS1,Homo sapiens (Human),196
P15336,ATF2_HUMAN,reviewed,Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (EC 2.3.1.48) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (Histone acetyltransferase ATF2) (cAMP response element-binding protein CRE-BP1),ATF2 CREB2 CREBP1,Homo sapiens (Human),505
Q13315,ATM_HUMAN,reviewed,Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated),ATM,Homo sapiens (Human),3056
Q9NR80,ARHG4_HUMAN,reviewed,Rho guanine nucleotide exchange factor 4 (APC-stimulated guanine nucleotide exchange factor 1) (Asef) (Asef1),ARHGEF4 KIAA1112,Homo sapiens (Human),690
Q9C0K0,BC11B_HUMAN,reviewed,B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (hRit1),BCL11B CTIP2 RIT1,Homo sapiens (Human),894
Q13535,ATR_HUMAN,reviewed,Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1),ATR FRP1,Homo sapiens (Human),2644
O15169,AXIN1_HUMAN,reviewed,Axin-1 (Axis inhibition protein 1) (hAxin),AXIN1 AXIN,Homo sapiens (Human),862
O95999,BCL10_HUMAN,reviewed,B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10),BCL10 CIPER CLAP,Homo sapiens (Human),233
Q9BQE9,BCL7B_HUMAN,reviewed,B-cell CLL/lymphoma 7 protein family member B (allergen Hom s 3),BCL7B,Homo sapiens (Human),202
O43505,B4GA1_HUMAN,reviewed,"Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",B4GAT1 B3GNT1 B3GNT6,Homo sapiens (Human),415
Q92560,BAP1_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase BAP1 (EC 3.4.19.12) (BRCA1-associated protein 1) (Cerebral protein 6),BAP1 KIAA0272 hucep-6,Homo sapiens (Human),729
O14514,BAI1_HUMAN,reviewed,Brain-specific angiogenesis inhibitor 1,BAI1,Homo sapiens (Human),1584
Q14457,BECN1_HUMAN,reviewed,Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa],BECN1 GT197,Homo sapiens (Human),450
O14503,BHE40_HUMAN,reviewed,Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein),BHLHE40 BHLHB2 DEC1 SHARP2 STRA13,Homo sapiens (Human),412
Q6AI39,BICRL_HUMAN,reviewed,BRD4-interacting chromatin-remodeling complex-associated protein-like (Glioma tumor suppressor candidate region gene 1 protein-like),BICRAL GLTSCR1L KIAA0240,Homo sapiens (Human),1079
Q9NPI1,BRD7_HUMAN,reviewed,Bromodomain-containing protein 7 (75 kDa bromodomain protein) (Protein CELTIX-1),BRD7 BP75 CELTIX1,Homo sapiens (Human),651
Q8IZS8,CA2D3_HUMAN,reviewed,Voltage-dependent calcium channel subunit alpha-2/delta-3 (Voltage-gated calcium channel subunit alpha-2/delta-3) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-3; Voltage-dependent calcium channel subunit delta-3],CACNA2D3,Homo sapiens (Human),1091
O00499,BIN1_HUMAN,reviewed,Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1),BIN1 AMPHL,Homo sapiens (Human),593
Q9H0E9,BRD8_HUMAN,reviewed,Bromodomain-containing protein 8 (Skeletal muscle abundant protein) (Skeletal muscle abundant protein 2) (Thyroid hormone receptor coactivating protein of 120 kDa) (TrCP120) (p120),BRD8 SMAP SMAP2,Homo sapiens (Human),1235
Q5VTR2,BRE1A_HUMAN,reviewed,E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A),RNF20 BRE1A,Homo sapiens (Human),975
P78543,BTG2_HUMAN,reviewed,Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3),BTG2 PC3,Homo sapiens (Human),158
Q8N9N5,BANP_HUMAN,reviewed,Protein BANP (BEN domain-containing protein 1) (Btg3-associated nuclear protein) (Scaffold/matrix-associated region-1-binding protein),BANP BEND1 SMAR1,Homo sapiens (Human),519
O60238,BNI3L_HUMAN,reviewed,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L),BNIP3L BNIP3A BNIP3H NIX,Homo sapiens (Human),219
Q9HCU9,BRMS1_HUMAN,reviewed,Breast cancer metastasis-suppressor 1,BRMS1,Homo sapiens (Human),246
Q9NZM4,BICRA_HUMAN,reviewed,BRD4-interacting chromatin-remodeling complex-associated protein (Glioma tumor suppressor candidate region gene 1 protein),BICRA GLTSCR1,Homo sapiens (Human),1560
P35226,BMI1_HUMAN,reviewed,Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4) (RING finger protein 51),BMI1 PCGF4 RNF51,Homo sapiens (Human),326
P36894,BMR1A_HUMAN,reviewed,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292),BMPR1A ACVRLK3 ALK3,Homo sapiens (Human),532
Q9BZR8,B2L14_HUMAN,reviewed,Apoptosis facilitator Bcl-2-like protein 14 (Bcl2-L-14) (Apoptosis regulator Bcl-G),BCL2L14 BCLG,Homo sapiens (Human),327
Q99728,BARD1_HUMAN,reviewed,BRCA1-associated RING domain protein 1 (BARD-1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BARD1),BARD1,Homo sapiens (Human),777
Q07812,BAX_HUMAN,reviewed,Apoptosis regulator BAX (Bcl-2-like protein 4) (Bcl2-L-4),BAX BCL2L4,Homo sapiens (Human),192
P22681,CBL_HUMAN,reviewed,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),CBL CBL2 RNF55,Homo sapiens (Human),906
Q8N6N3,CA052_HUMAN,reviewed,UPF0690 protein C1orf52 (BCL10-associated gene protein),C1orf52 BAG GM117,Homo sapiens (Human),182
Q8N126,CADM3_HUMAN,reviewed,Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1),CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258,Homo sapiens (Human),398
Q9NXV6,CARF_HUMAN,reviewed,CDKN2A-interacting protein (Collaborator of ARF),CDKN2AIP CARF,Homo sapiens (Human),580
Q969G5,CAVN3_HUMAN,reviewed,Caveolae-associated protein 3 (Cavin-3) (Protein kinase C delta-binding protein) (Serum deprivation response factor-related gene product that binds to C-kinase) (hSRBC),CAVIN3 PRKCDBP SRBC,Homo sapiens (Human),261
O95931,CBX7_HUMAN,reviewed,Chromobox protein homolog 7,CBX7,Homo sapiens (Human),251
Q969J3,BORC5_HUMAN,reviewed,BLOC-1-related complex subunit 5 (Loss of heterozygosity 12 chromosomal region 1) (Myristoylated lysosomal protein) (Myrlysin),BORCS5 LOH12CR1,Homo sapiens (Human),196
P51587,BRCA2_HUMAN,reviewed,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),BRCA2 FACD FANCD1,Homo sapiens (Human),3418
Q9ULD4,BRPF3_HUMAN,reviewed,Bromodomain and PHD finger-containing protein 3,BRPF3 KIAA1286,Homo sapiens (Human),1205
Q8NFZ8,CADM4_HUMAN,reviewed,Cell adhesion molecule 4 (Immunoglobulin superfamily member 4C) (IgSF4C) (Nectin-like protein 4) (NECL-4) (TSLC1-like protein 2),CADM4 IGSF4C NECL4 TSLL2,Homo sapiens (Human),388
O95696,BRD1_HUMAN,reviewed,Bromodomain-containing protein 1 (BR140-like protein) (Bromodomain and PHD finger-containing protein 2),BRD1 BRL BRPF2,Homo sapiens (Human),1058
P55201,BRPF1_HUMAN,reviewed,Peregrin (Bromodomain and PHD finger-containing protein 1) (Protein Br140),BRPF1 BR140,Homo sapiens (Human),1214
O14569,C56D2_HUMAN,reviewed,Cytochrome b561 domain-containing protein 2 (Putative tumor suppressor protein 101F6),CYB561D2 101F6 LUCA12.2,Homo sapiens (Human),222
P62952,BLCAP_HUMAN,reviewed,Bladder cancer-associated protein (Bladder cancer 10 kDa protein) (Bc10),BLCAP BC10,Homo sapiens (Human),87
O60566,BUB1B_HUMAN,reviewed,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1),BUB1B BUBR1 MAD3L SSK1,Homo sapiens (Human),1050
O60477,BRNP1_HUMAN,reviewed,BMP/retinoic acid-inducible neural-specific protein 1 (Deleted in bladder cancer protein 1),BRINP1 DBC1 DBCCR1 FAM5A IB3089A,Homo sapiens (Human),761
P24385,CCND1_HUMAN,reviewed,G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene),CCND1 BCL1 PRAD1,Homo sapiens (Human),295
Q5U5Z8,CBPC2_HUMAN,reviewed,Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2),AGBL2 CCP2,Homo sapiens (Human),902
Q14781,CBX2_HUMAN,reviewed,Chromobox protein homolog 2,CBX2,Homo sapiens (Human),532
Q9HC52,CBX8_HUMAN,reviewed,Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1),CBX8 PC3 RC1,Homo sapiens (Human),389
O14519,CDKA1_HUMAN,reviewed,Cyclin-dependent kinase 2-associated protein 1 (CDK2-associated protein 1) (Deleted in oral cancer 1) (DOC-1) (Putative oral cancer suppressor),CDK2AP1 CDKAP1 DOC1,Homo sapiens (Human),115
P30281,CCND3_HUMAN,reviewed,G1/S-specific cyclin-D3,CCND3,Homo sapiens (Human),292
Q6P1J9,CDC73_HUMAN,reviewed,Parafibromin (Cell division cycle protein 73 homolog) (Hyperparathyroidism 2 protein),CDC73 C1orf28 HRPT2,Homo sapiens (Human),531
Q00534,CDK6_HUMAN,reviewed,Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE),CDK6 CDKN6,Homo sapiens (Human),326
P24864,CCNE1_HUMAN,reviewed,G1/S-specific cyclin-E1,CCNE1 CCNE,Homo sapiens (Human),410
Q9UJX2,CDC23_HUMAN,reviewed,Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8),CDC23 ANAPC8,Homo sapiens (Human),597
P42773,CDN2C_HUMAN,reviewed,Cyclin-dependent kinase 4 inhibitor C (Cyclin-dependent kinase 6 inhibitor) (p18-INK4c) (p18-INK6),CDKN2C CDKN6,Homo sapiens (Human),168
O00257,CBX4_HUMAN,reviewed,E3 SUMO-protein ligase CBX4 (EC 6.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2),CBX4,Homo sapiens (Human),560
Q8N163,CCAR2_HUMAN,reviewed,Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC),CCAR2 DBC1 KIAA1967,Homo sapiens (Human),923
Q15131,CDK10_HUMAN,reviewed,Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10) (Serine/threonine-protein kinase PISSLRE),CDK10,Homo sapiens (Human),360
Q9BYE9,CDHR2_HUMAN,reviewed,Cadherin-related family member 2 (Protocadherin LKC) (PC-LKC) (Protocadherin-24),CDHR2 PCDH24 PCLKC,Homo sapiens (Human),1310
P49918,CDN1C_HUMAN,reviewed,Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57Kip2),CDKN1C KIP2,Homo sapiens (Human),316
O14757,CHK1_HUMAN,reviewed,Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1),CHEK1 CHK1,Homo sapiens (Human),476
P42772,CDN2B_HUMAN,reviewed,Cyclin-dependent kinase 4 inhibitor B (Multiple tumor suppressor 2) (MTS-2) (p14-INK4b) (p15-INK4b) (p15INK4B),CDKN2B MTS2,Homo sapiens (Human),138
P46527,CDN1B_HUMAN,reviewed,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),CDKN1B KIP1,Homo sapiens (Human),198
P55273,CDN2D_HUMAN,reviewed,Cyclin-dependent kinase 4 inhibitor D (p19-INK4d),CDKN2D,Homo sapiens (Human),166
Q8NE62,CHDH_HUMAN,reviewed,"Choline dehydrogenase, mitochondrial (CDH) (CHD) (EC 1.1.99.1)",CHDH,Homo sapiens (Human),594
A8K7I4,CLCA1_HUMAN,reviewed,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 1) (hCLCA1) (Calcium-activated chloride channel protein 1) (CaCC-1) (hCaCC-1),CLCA1 CACC1,Homo sapiens (Human),914
