Entry,Entry name,Status,Protein names,Gene names,Organism,Length
P01127,PDGFB_HUMAN,reviewed,Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin),PDGFB PDGF2 SIS,Homo sapiens (Human),241
P31947,1433S_HUMAN,reviewed,14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin),SFN HME1,Homo sapiens (Human),248
Q9Y3L3,3BP1_HUMAN,reviewed,SH3 domain-binding protein 1 (3BP-1),SH3BP1,Homo sapiens (Human),701
Q13131,AAPK1_HUMAN,reviewed,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),PRKAA1 AMPK1,Homo sapiens (Human),559
P42684,ABL2_HUMAN,reviewed,Abelson tyrosine-protein kinase 2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG),ABL2 ABLL ARG,Homo sapiens (Human),1182
O94929,ABLM3_HUMAN,reviewed,Actin-binding LIM protein 3 (abLIM-3) (Actin-binding LIM protein family member 3),ABLIM3 KIAA0843 HMFN1661,Homo sapiens (Human),683
P13798,ACPH_HUMAN,reviewed,Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase) (OPH),APEH D3F15S2 D3S48E DNF15S2,Homo sapiens (Human),732
Q07912,ACK1_HUMAN,reviewed,Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2),TNK2 ACK1,Homo sapiens (Human),1038
Q8NC06,ACBD4_HUMAN,reviewed,Acyl-CoA-binding domain-containing protein 4,ACBD4 HMFT0700,Homo sapiens (Human),268
P30154,2AAB_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta),PPP2R1B,Homo sapiens (Human),601
Q969K4,ABTB1_HUMAN,reviewed,Ankyrin repeat and BTB/POZ domain-containing protein 1 (Elongation factor 1A-binding protein),ABTB1 BPOZ PP2259,Homo sapiens (Human),478
P04217,A1BG_HUMAN,reviewed,Alpha-1B-glycoprotein (Alpha-1-B glycoprotein),A1BG,Homo sapiens (Human),495
Q9NYB9,ABI2_HUMAN,reviewed,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1),ABI2 ARGBPIA,Homo sapiens (Human),513
O43707,ACTN4_HUMAN,reviewed,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,Homo sapiens (Human),911
P37023,ACVL1_HUMAN,reviewed,Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I),ACVRL1 ACVRLK1 ALK1,Homo sapiens (Human),503
Q96PE1,AGRA2_HUMAN,reviewed,Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5),ADGRA2 GPR124 KIAA1531 TEM5,Homo sapiens (Human),1338
Q13085,ACACA_HUMAN,reviewed,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (ACC-alpha) [Includes: Biotin carboxylase (EC 6.3.4.14)],ACACA ACAC ACC1 ACCA,Homo sapiens (Human),2346
O96019,ACL6A_HUMAN,reviewed,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),ACTL6A BAF53 BAF53A INO80K,Homo sapiens (Human),429
O75689,ADAP1_HUMAN,reviewed,Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25),ADAP1 CENTA1,Homo sapiens (Human),374
Q8IZP0,ABI1_HUMAN,reviewed,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1),ABI1 SSH3BP1,Homo sapiens (Human),508
Q68CK6,ACS2B_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2B) (Butyrate--CoA ligase 2B) (Butyryl-coenzyme A synthetase 2B) (Middle-chain acyl-CoA synthetase 2B) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-A)",ACSM2B ACSM2 HYST1046,Homo sapiens (Human),577
P36896,ACV1B_HUMAN,reviewed,Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2),ACVR1B ACVRLK4 ALK4,Homo sapiens (Human),505
Q8IWK6,AGRA3_HUMAN,reviewed,Adhesion G protein-coupled receptor A3 (G-protein coupled receptor 125),ADGRA3 GPR125 UNQ556/PRO1113,Homo sapiens (Human),1321
P61163,ACTZ_HUMAN,reviewed,Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog),ACTR1A CTRN1,Homo sapiens (Human),376
Q04771,ACVR1_HUMAN,reviewed,Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I),ACVR1 ACVRLK2,Homo sapiens (Human),509
O14862,AIM2_HUMAN,reviewed,Interferon-inducible protein AIM2 (Absent in melanoma 2),AIM2,Homo sapiens (Human),343
Q99490,AGAP2_HUMAN,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 (AGAP-2) (Centaurin-gamma-1) (Cnt-g1) (GTP-binding and GTPase-activating protein 2) (GGAP2) (Phosphatidylinositol 3-kinase enhancer) (PIKE)",AGAP2 CENTG1 KIAA0167,Homo sapiens (Human),1192
Q9H9G7,AGO3_HUMAN,reviewed,Protein argonaute-3 (Argonaute3) (hAgo3) (Argonaute RISC catalytic component 3) (Eukaryotic translation initiation factor 2C 3) (eIF-2C 3) (eIF2C 3),AGO3 EIF2C3,Homo sapiens (Human),860
Q9HCK5,AGO4_HUMAN,reviewed,Protein argonaute-4 (Argonaute4) (hAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4),AGO4 EIF2C4 KIAA1567,Homo sapiens (Human),861
Q9ULC5,ACSL5_HUMAN,reviewed,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5),ACSL5 ACS5 FACL5 UNQ633/PRO1250,Homo sapiens (Human),683
P55198,AF17_HUMAN,reviewed,Protein AF-17 (ALL1-fused gene from chromosome 17 protein),MLLT6 AF17,Homo sapiens (Human),1093
P51825,AFF1_HUMAN,reviewed,AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4),AFF1 AF4 FEL MLLT2 PBM1,Homo sapiens (Human),1210
Q9NQ31,AKIP1_HUMAN,reviewed,A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3),AKIP1 BCA3 C11orf17,Homo sapiens (Human),210
P31751,AKT2_HUMAN,reviewed,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),AKT2,Homo sapiens (Human),481
Q96LA8,ANM6_HUMAN,reviewed,Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6),PRMT6 HRMT1L6,Homo sapiens (Human),375
O95994,AGR2_HUMAN,reviewed,Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog),AGR2 AG2 UNQ515/PRO1030,Homo sapiens (Human),175
Q8IZF7,AGRF2_HUMAN,reviewed,Adhesion G-protein coupled receptor F2 (G-protein coupled receptor 111) (G-protein coupled receptor PGR20),ADGRF2 GPR111 PGR20,Homo sapiens (Human),708
Q9UM73,ALK_HUMAN,reviewed,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),ALK,Homo sapiens (Human),1620
P10275,ANDR_HUMAN,reviewed,Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4),AR DHTR NR3C4,Homo sapiens (Human),920
O60678,ANM3_HUMAN,reviewed,Protein arginine N-methyltransferase 3 (EC 2.1.1.-) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3),PRMT3 HRMT1L3,Homo sapiens (Human),531
Q9Y243,AKT3_HUMAN,reviewed,RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2),AKT3 PKBG,Homo sapiens (Human),479
Q96QP1,ALPK1_HUMAN,reviewed,Alpha-protein kinase 1 (EC 2.7.11.-) (Chromosome 4 kinase) (Lymphocyte alpha-protein kinase),ALPK1 KIAA1527 LAK,Homo sapiens (Human),1244
P39687,AN32A_HUMAN,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI),ANP32A C15orf1 LANP MAPM PHAP1,Homo sapiens (Human),249
P55197,AF10_HUMAN,reviewed,Protein AF-10 (ALL1-fused gene from chromosome 10 protein),MLLT10 AF10,Homo sapiens (Human),1068
P42568,AF9_HUMAN,reviewed,Protein AF-9 (ALL1-fused gene from chromosome 9 protein) (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein) (YEATS domain-containing protein 3),MLLT3 AF9 YEATS3,Homo sapiens (Human),568
P55196,AFAD_HUMAN,reviewed,Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor),AFDN AF6 MLLT4,Homo sapiens (Human),1824
Q12802,AKP13_HUMAN,reviewed,A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47),AKAP13 BRX HT31 LBC,Homo sapiens (Human),2813
Q5T601,AGRF1_HUMAN,reviewed,Adhesion G-protein coupled receptor F1 (G protein-coupled receptor 110) (G protein-coupled receptor KPG_012) (G protein-coupled receptor PGR19),ADGRF1 GPR110 PGR19,Homo sapiens (Human),910
O95490,AGRL2_HUMAN,reviewed,Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1),ADGRL2 KIAA0786 LEC1 LPHH1 LPHN2,Homo sapiens (Human),1459
Q9BRQ8,AIFM2_HUMAN,reviewed,Apoptosis-inducing factor 2 (EC 1.-.-.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (Apoptosis-inducing factor-like mitochondrion-associated inducer of death) (p53-responsive gene 3 protein),AIFM2 AMID PRG3,Homo sapiens (Human),373
Q96K21,ANCHR_HUMAN,reviewed,Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19),ZFYVE19 ANCHR MPFYVE,Homo sapiens (Human),471
Q5XXA6,ANO1_HUMAN,reviewed,Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2),ANO1 DOG1 ORAOV2 TAOS2 TMEM16A,Homo sapiens (Human),986
Q8WTP8,AEN_HUMAN,reviewed,Apoptosis-enhancing nuclease (EC 3.1.-.-) (Interferon-stimulated 20 kDa exonuclease-like 1),AEN ISG20L1 SBBI58,Homo sapiens (Human),325
Q13015,AF1Q_HUMAN,reviewed,Protein AF1q,MLLT11 AF1Q,Homo sapiens (Human),90
Q9UHB7,AFF4_HUMAN,reviewed,AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein),AFF4 AF5Q31 MCEF HSPC092,Homo sapiens (Human),1163
Q86SJ2,AMGO2_HUMAN,reviewed,Amphoterin-induced protein 2 (AMIGO-2) (Alivin-1) (Differentially expressed in gastric adenocarcinomas) (DEGA),AMIGO2 ALI1,Homo sapiens (Human),522
Q9UL18,AGO1_HUMAN,reviewed,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),AGO1 EIF2C1,Homo sapiens (Human),857
Q12774,ARHG5_HUMAN,reviewed,Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM),ARHGEF5 TIM,Homo sapiens (Human),1597
Q7Z628,ARHG8_HUMAN,reviewed,Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8),NET1 ARHGEF8,Homo sapiens (Human),596
Q6ZSZ5,ARHGI_HUMAN,reviewed,Rho guanine nucleotide exchange factor 18 (114 kDa Rho-specific guanine nucleotide exchange factor) (p114-Rho-GEF) (p114RhoGEF) (Septin-associated RhoGEF) (SA-RhoGEF),ARHGEF18 KIAA0521,Homo sapiens (Human),1173
Q9ULZ3,ASC_HUMAN,reviewed,Apoptosis-associated speck-like protein containing a CARD (hASC) (Caspase recruitment domain-containing protein 5) (PYD and CARD domain-containing protein) (Target of methylation-induced silencing 1),PYCARD ASC CARD5 TMS1,Homo sapiens (Human),195
P27695,APEX1_HUMAN,reviewed,"DNA-(apurinic or apyrimidinic site) lyase (EC 3.1.-.-) (EC 4.2.99.18) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial]",APEX1 APE APE1 APEX APX HAP1 REF1,Homo sapiens (Human),318
P29374,ARI4A_HUMAN,reviewed,AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1) (RBBP-1),ARID4A RBBP1 RBP1,Homo sapiens (Human),1257
P25054,APC_HUMAN,reviewed,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),APC DP2.5,Homo sapiens (Human),2843
Q8N726,ARF_HUMAN,reviewed,Tumor suppressor ARF (Alternative reading frame) (ARF) (Cyclin-dependent kinase inhibitor 2A) (p14ARF),CDKN2A CDKN2 MLM,Homo sapiens (Human),132
Q92888,ARHG1_HUMAN,reviewed,Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5),ARHGEF1,Homo sapiens (Human),912
Q9UM13,APC10_HUMAN,reviewed,Anaphase-promoting complex subunit 10 (APC10) (Cyclosome subunit 10),ANAPC10 APC10,Homo sapiens (Human),185
Q7Z6G8,ANS1B_HUMAN,reviewed,Ankyrin repeat and sterile alpha motif domain-containing protein 1B (Amyloid-beta protein intracellular domain-associated protein 1) (AIDA-1) (E2A-PBX1-associated protein) (EB-1),ANKS1B,Homo sapiens (Human),1248
O95996,APCL_HUMAN,reviewed,Adenomatous polyposis coli protein 2 (Adenomatous polyposis coli protein-like) (APC-like),APC2 APCL,Homo sapiens (Human),2303
Q92625,ANS1A_HUMAN,reviewed,Ankyrin repeat and SAM domain-containing protein 1A (Odin),ANKS1A ANKS1 KIAA0229 ODIN,Homo sapiens (Human),1134
Q9NZN5,ARHGC_HUMAN,reviewed,Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF),ARHGEF12 KIAA0382 LARG,Homo sapiens (Human),1544
Q96DR7,ARHGQ_HUMAN,reviewed,Rho guanine nucleotide exchange factor 26 (SH3 domain-containing guanine exchange factor),ARHGEF26 SGEF HMFN1864,Homo sapiens (Human),871
P10398,ARAF_HUMAN,reviewed,Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks),ARAF ARAF1 PKS PKS2,Homo sapiens (Human),606
Q99856,ARI3A_HUMAN,reviewed,AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1) (E2F-binding protein 1),ARID3A DRIL1 DRIL3 DRX E2FBP1,Homo sapiens (Human),593
Q8IVW6,ARI3B_HUMAN,reviewed,AT-rich interactive domain-containing protein 3B (ARID domain-containing protein 3B) (Bright and dead ringer protein) (Bright-like protein),ARID3B BDP DRIL2,Homo sapiens (Human),561
Q13625,ASPP2_HUMAN,reviewed,Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2),TP53BP2 ASPP2 BBP,Homo sapiens (Human),1128
Q6PL18,ATAD2_HUMAN,reviewed,ATPase family AAA domain-containing protein 2 (EC 3.6.1.3) (AAA nuclear coregulator cancer-associated protein) (ANCCA),ATAD2 L16 PRO2000,Homo sapiens (Human),1390
P17544,ATF7_HUMAN,reviewed,Cyclic AMP-dependent transcription factor ATF-7 (cAMP-dependent transcription factor ATF-7) (Activating transcription factor 7) (Transcription factor ATF-A),ATF7 ATFA,Homo sapiens (Human),494
Q8N4T4,ARG39_HUMAN,reviewed,Rho guanine nucleotide exchange factor 39,ARHGEF39 C9orf100,Homo sapiens (Human),335
Q8NHP1,ARK74_HUMAN,reviewed,Aflatoxin B1 aldehyde reductase member 4 (EC 1.-.-.-) (AFB1 aldehyde reductase 3) (AFB1-AR 3) (Aldoketoreductase 7-like),AKR7L AFAR3 AKR7A4,Homo sapiens (Human),331
Q9BZE9,ASPC1_HUMAN,reviewed,Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9),ASPSCR1 ASPL RCC17 TUG UBXD9 UBXN9,Homo sapiens (Human),553
Q13315,ATM_HUMAN,reviewed,Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated),ATM,Homo sapiens (Human),3056
Q9NR80,ARHG4_HUMAN,reviewed,Rho guanine nucleotide exchange factor 4 (APC-stimulated guanine nucleotide exchange factor 1) (Asef) (Asef1),ARHGEF4 KIAA1112,Homo sapiens (Human),690
O95154,ARK73_HUMAN,reviewed,Aflatoxin B1 aldehyde reductase member 3 (EC 1.-.-.-) (AFB1 aldehyde reductase 2) (AFB1-AR 2),AKR7A3 AFAR2,Homo sapiens (Human),331
Q9Y2D1,ATF5_HUMAN,reviewed,Cyclic AMP-dependent transcription factor ATF-5 (cAMP-dependent transcription factor ATF-5) (Activating transcription factor 5) (Transcription factor ATFx),ATF5 ATFX,Homo sapiens (Human),282
Q9H6U6,BCAS3_HUMAN,reviewed,Breast carcinoma-amplified sequence 3 (GAOB1),BCAS3,Homo sapiens (Human),928
O00512,BCL9_HUMAN,reviewed,B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog),BCL9,Homo sapiens (Human),1426
P11274,BCR_HUMAN,reviewed,Breakpoint cluster region protein (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-26),BCR BCR1 D22S11,Homo sapiens (Human),1271
Q13535,ATR_HUMAN,reviewed,Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1),ATR FRP1,Homo sapiens (Human),2644
O15169,AXIN1_HUMAN,reviewed,Axin-1 (Axis inhibition protein 1) (hAxin),AXIN1 AXIN,Homo sapiens (Human),862
